inst,label,pred,error,prediction
121,4,5,+,0.126
122,13,13,,0.999
123,13,13,,0.999
124,4,5,+,0.127
125,13,13,,0.999
126,13,13,,0.999
127,4,5,+,0.126
128,8,5,+,0.124
129,8,5,+,0.127
130,8,5,+,0.125
131,13,13,,0.998
132,13,13,,0.999
133,13,13,,0.999
134,13,13,,0.998
135,13,13,,1
136,13,13,,0.998
137,13,13,,0.997
138,13,13,,1
139,13,13,,0.999
140,13,13,,0.998
141,13,13,,0.999
142,13,13,,0.999
143,13,13,,0.999
144,13,13,,0.998
145,13,13,,1
146,13,13,,0.997
147,13,13,,0.999
148,13,13,,0.995
149,13,13,,1
150,13,13,,0.999
151,13,13,,0.999
152,13,13,,0.999
153,13,13,,0.999
154,13,13,,0.998
155,13,13,,0.999
156,13,13,,1
157,13,13,,0.999
158,13,13,,0.997
159,13,13,,1
160,13,13,,0.996
161,13,13,,0.998
162,13,13,,0.998
163,3,12,+,0.308
164,3,12,+,0.311
165,3,5,+,0.232
166,8,5,+,0.232
167,8,5,+,0.232
168,7,5,+,0.232
169,12,12,,0.313
170,12,5,+,0.232
171,12,12,,0.309
172,1,1,,0.993
173,1,1,,0.998
174,5,5,,0.232
175,5,5,,0.232
176,2,5,+,0.232
177,2,5,+,0.523
178,11,4,+,0.368
179,11,9,+,0.388
180,2,2,,0.581
181,4,4,,0.486
182,13,13,,0.998
183,13,13,,0.998
184,13,13,,0.999
185,13,13,,0.999
186,1,1,,0.99
187,7,7,,0.727
188,6,6,,0.224
189,13,13,,0.999
190,7,2,+,0.659
191,9,4,+,0.527
192,0,0,,0.978
193,13,13,,0.999
194,0,0,,0.981
195,9,9,,0.359
196,10,12,+,0.324
197,13,13,,0.999
198,13,13,,0.999
199,5,5,,0.431
200,0,0,,0.969
201,5,5,,0.472
202,5,2,+,0.715
203,12,9,+,0.355
204,12,12,,0.346
205,12,5,+,0.128
206,1,5,+,0.129
207,12,5,+,0.128
208,6,5,+,0.13
209,1,5,+,0.128
210,6,5,+,0.127
211,7,5,+,0.124
212,0,5,+,0.132
213,10,5,+,0.134
214,10,5,+,0.136
215,11,5,+,0.128
216,13,13,,0.999
217,10,5,+,0.126
218,13,13,,0.999
219,10,5,+,0.133
220,11,5,+,0.127
221,13,13,,0.999
222,13,13,,0.999
223,13,13,,0.999
224,2,5,+,0.13
225,3,5,+,0.126
226,13,13,,0.999
227,13,13,,0.999
228,13,13,,0.999
229,2,5,+,0.13
230,2,5,+,0.131
231,13,13,,0.999
232,13,13,,0.999
233,13,13,,0.999
234,3,5,+,0.131
235,4,5,+,0.128
236,13,13,,0.999
237,4,5,+,0.13
238,8,5,+,0.134
239,8,5,+,0.126
240,8,5,+,0.128
241,13,13,,0.999
242,13,13,,1
243,13,13,,0.999
244,13,13,,1
245,13,13,,0.999
246,13,13,,0.998
247,13,13,,0.998
248,13,13,,0.998
249,13,13,,0.999
250,13,13,,0.999
251,13,13,,0.998
252,13,13,,0.999
253,13,13,,0.997
254,13,13,,0.999
255,13,13,,0.999
256,13,13,,0.999
257,13,13,,0.997
258,13,13,,0.999
259,13,13,,0.998
260,13,13,,0.998
261,13,13,,0.999
262,13,13,,0.999
263,13,13,,0.999
264,13,13,,0.999
265,13,13,,0.999
266,13,13,,0.994
267,13,13,,0.998
268,13,13,,1
269,13,13,,0.998
270,13,13,,0.999
271,13,13,,0.999
272,13,13,,1
273,13,13,,0.997
274,13,13,,0.999
275,13,13,,0.999
276,13,13,,0.999
277,13,13,,0.997
278,13,13,,0.999
279,13,13,,0.999
280,13,13,,0.999
281,13,13,,0.999
282,13,13,,0.996
283,13,13,,0.999
284,13,13,,0.999
285,13,13,,0.998
286,13,13,,0.999
287,13,13,,0.999
288,13,13,,0.999
289,13,13,,0.997
290,13,13,,0.999
291,13,13,,1
292,13,13,,0.999
293,13,13,,0.999
294,13,13,,0.999
295,13,13,,0.998
296,13,13,,0.999
297,13,13,,0.998
298,13,13,,0.997
299,13,13,,0.997
300,13,13,,0.999
301,13,13,,0.998
302,13,13,,0.998
303,13,13,,0.998
304,3,12,+,0.335
305,9,12,+,0.322
306,9,4,+,0.333
307,8,5,+,0.232
308,9,5,+,0.232
309,13,13,,0.998
310,8,5,+,0.232
311,9,10,+,0.775
312,13,13,,0.998
313,13,13,,0.998
314,13,13,,0.998
315,13,13,,0.998
316,7,5,+,0.232
317,8,5,+,0.232
318,13,13,,0.998
319,13,13,,0.998
320,13,13,,0.998
321,13,13,,0.998
322,13,13,,0.998
323,13,13,,0.998
324,13,13,,0.998
325,13,13,,0.998
326,12,12,,0.368
327,12,12,,0.317
328,13,13,,0.998
329,13,13,,0.998
330,7,5,+,0.232
331,12,12,,0.271
332,11,4,+,0.319
333,12,9,+,0.804
334,11,5,+,0.232
335,1,1,,0.982
336,12,12,,0.318
337,1,1,,0.994
338,6,12,+,0.312
339,12,5,+,0.232
340,11,12,+,0.295
341,13,13,,0.998
342,13,13,,0.998
343,1,1,,0.998
344,4,5,+,0.232
345,6,4,+,0.176
346,1,1,,0.998
347,1,1,,0.982
348,1,10,+,0.548
349,6,12,+,0.313
350,4,5,+,0.232
351,5,5,,0.232
352,4,9,+,0.664
353,5,5,,0.232
354,5,5,,0.232
355,13,13,,0.998
356,13,13,,0.998
357,13,13,,0.998
358,13,13,,0.998
359,2,5,+,0.232
360,13,13,,0.998
361,13,13,,0.998
362,13,13,,0.998
363,2,5,+,0.232
364,2,5,+,0.232
365,2,5,+,0.232
366,11,8,+,0.509
367,11,11,,0.377
368,2,5,+,0.523
369,2,5,+,0.639
370,2,5,+,0.639
371,2,5,+,0.556
372,11,11,,0.372
373,4,4,,0.526
374,4,4,,0.524
375,1,1,,0.997
376,13,13,,0.999
377,13,13,,0.999
378,13,13,,0.999
379,13,13,,0.999
380,6,12,+,0.284
381,6,12,+,0.277
382,7,7,,0.691
383,13,13,,0.999
384,7,2,+,0.559
385,13,13,,0.999
386,6,12,+,0.326
387,13,13,,0.999
388,13,13,,0.999
389,10,11,+,0.356
390,8,8,,0.589
391,8,2,+,0.321
392,13,13,,0.999
393,13,13,,0.999
394,10,1,+,0.993
395,13,13,,0.999
396,0,0,,0.972
397,5,4,+,0.338
398,13,13,,0.999
399,13,13,,0.999
400,3,3,,0.481
401,5,4,+,0.291
402,3,3,,0.861
403,3,3,,0.834
404,5,2,+,0.63
405,3,3,,0.861
406,5,5,,0.126
407,12,5,+,0.126
408,1,5,+,0.128
409,12,5,+,0.136
410,6,5,+,0.127
411,12,5,+,0.128
412,6,5,+,0.125
413,6,5,+,0.133
414,6,5,+,0.125
415,1,5,+,0.125
416,7,5,+,0.128
417,7,5,+,0.128
418,7,5,+,0.129
419,7,5,+,0.129
420,7,5,+,0.126
421,10,5,+,0.128
422,0,5,+,0.127
423,10,5,+,0.128
424,9,5,+,0.126
425,0,5,+,0.126
426,13,13,,0.999
427,0,5,+,0.135
428,9,5,+,0.125
429,0,5,+,0.132
430,9,5,+,0.125
431,11,5,+,0.126
432,11,5,+,0.126
433,9,5,+,0.125
434,13,13,,0.999
435,13,13,,0.999
436,13,13,,0.999
437,0,5,+,0.131
438,13,13,,0.999
439,13,13,,0.999
440,13,13,,0.999
441,13,13,,0.999
442,9,5,+,0.123
443,13,13,,0.999
444,13,13,,0.999
445,13,13,,0.999
446,9,5,+,0.128
447,13,13,,0.998
448,13,13,,0.999
449,9,5,+,0.127
450,9,5,+,0.128
451,9,5,+,0.127
452,13,13,,0.999
453,13,13,,0.999
454,13,13,,0.999
455,3,5,+,0.13
456,13,13,,0.999
457,13,13,,0.998
458,13,13,,0.999
459,13,13,,0.999
460,13,13,,0.999
461,13,13,,0.999
462,3,5,+,0.13
463,13,13,,0.999
464,13,13,,0.999
465,13,13,,0.999
466,13,13,,0.999
467,13,13,,0.999
468,3,5,+,0.128
469,13,13,,0.999
470,13,13,,0.999
471,13,13,,0.999
472,3,5,+,0.126
473,3,5,+,0.127
474,2,5,+,0.128
475,2,5,+,0.129
476,13,13,,0.999
477,3,5,+,0.128
478,2,5,+,0.128
479,2,5,+,0.127
480,8,5,+,0.126
481,13,13,,0.999
482,8,5,+,0.127
483,4,5,+,0.125
484,8,5,+,0.127
485,13,13,,0.999
486,13,13,,0.999
487,13,13,,0.996
488,13,13,,1
489,13,13,,0.998
490,13,13,,0.999
491,13,13,,0.998
492,13,13,,0.996
493,13,13,,0.996
494,13,13,,0.999
495,13,13,,1
496,13,13,,1
497,13,13,,1
498,13,13,,0.996
499,13,13,,0.999
500,13,13,,0.999
501,13,13,,0.999
502,13,13,,1
503,13,13,,0.999
504,13,13,,1
505,13,13,,0.998
506,13,13,,0.999
507,13,13,,0.999
508,13,13,,0.999
509,13,13,,0.999
510,13,13,,0.999
511,13,13,,0.998
512,13,13,,0.999
513,13,13,,1
514,13,13,,0.999
515,13,13,,1
516,13,13,,0.997
517,13,13,,0.998
518,13,13,,1
519,13,13,,0.999
520,13,13,,0.999
521,13,13,,0.999
522,13,13,,0.997
523,13,13,,0.996
524,13,13,,0.999
525,13,13,,0.999
526,13,13,,0.999
527,13,13,,1
528,13,13,,0.999
529,13,13,,0.996
530,13,13,,0.999
531,13,13,,0.998
532,13,13,,0.999
533,13,13,,0.999
534,13,13,,1
535,13,13,,0.999
536,13,13,,0.999
537,13,13,,1
538,13,13,,0.999
539,13,13,,0.999
540,13,13,,0.996
541,13,13,,0.998
542,13,13,,0.998
543,13,13,,0.999
544,13,13,,0.999
545,13,13,,0.998
546,13,13,,0.998
547,13,13,,0.999
548,13,13,,0.998
549,13,13,,1
550,13,13,,0.999
551,13,13,,0.999
552,13,13,,0.999
553,13,13,,0.999
554,13,13,,0.998
555,13,13,,0.998
556,13,13,,0.998
557,3,12,+,0.309
558,3,4,+,0.314
559,3,9,+,0.325
560,3,5,+,0.232
561,3,9,+,0.691
562,9,5,+,0.232
563,9,5,+,0.232
564,8,12,+,0.298
565,8,5,+,0.232
566,13,13,,0.998
567,13,13,,0.998
568,7,1,+,0.665
569,7,5,+,0.232
570,13,13,,0.998
571,13,13,,0.998
572,13,13,,0.998
573,13,13,,0.998
574,13,13,,0.998
575,13,13,,0.998
576,13,13,,0.998
577,13,13,,0.998
578,13,13,,0.998
579,13,13,,0.998
580,13,13,,0.998
581,13,13,,0.998
582,13,13,,0.998
583,13,13,,0.998
584,1,1,,0.998
585,11,5,+,0.232
586,1,5,+,0.232
587,1,10,+,0.67
588,11,5,+,0.232
589,11,5,+,0.232
590,11,11,,0.388
591,6,9,+,0.446
592,6,5,+,0.232
593,6,12,+,0.329
594,4,4,,0.176
595,5,5,,0.232
596,4,5,+,0.232
597,4,5,+,0.232
598,5,5,,0.232
599,5,5,,0.232
600,5,5,,0.232
601,13,13,,0.998
602,13,13,,0.998
603,13,13,,0.998
604,5,5,,0.232
605,5,5,,0.232
606,13,13,,0.998
607,2,10,+,0.697
608,13,13,,0.998
609,13,13,,0.998
610,10,5,+,0.232
611,2,5,+,0.232
612,10,5,+,0.232
613,10,5,+,0.232
614,11,8,+,0.476
615,11,4,+,0.403
616,2,2,,0.589
617,11,9,+,0.398
618,2,2,,0.589
619,2,2,,0.589
620,2,5,+,0.403
621,11,4,+,0.414
622,11,4,+,0.418
623,11,11,,0.395
624,13,13,,0.999
625,13,13,,0.999
626,13,13,,0.999
627,13,13,,0.999
628,13,13,,0.999
629,4,4,,0.526
630,1,1,,0.995
631,13,13,,0.999
632,13,13,,0.999
633,1,1,,0.978
634,7,7,,0.991
635,6,12,+,0.334
636,6,5,+,0.454
637,7,6,+,0.534
638,13,13,,0.999
639,13,13,,0.999
640,8,11,+,0.331
641,13,13,,0.999
642,13,13,,0.999
643,9,9,,0.341
644,8,4,+,0.436
645,8,8,,0.611
646,10,12,+,0.328
647,13,13,,0.998
648,13,13,,0.999
649,10,9,+,0.338
650,9,9,,0.394
651,13,13,,0.999
652,10,7,+,0.602
653,5,5,,0.673
654,0,0,,0.97
655,3,3,,0.866
656,0,0,,0.967
657,0,0,,0.974
658,0,0,,0.975
659,5,5,,0.521
660,13,13,,0.999
661,5,5,,0.651
662,5,4,+,0.475
663,3,3,,0.791
664,12,12,,0.328
665,3,3,,0.812
666,3,3,,0.855
667,3,3,,0.86
668,5,5,,0.667
669,12,12,,0.346
670,5,5,,0.125
671,5,5,,0.126
672,6,5,+,0.13
673,1,5,+,0.263
674,1,5,+,0.131
675,5,5,,0.125
676,6,5,+,0.13
677,5,5,,0.126
678,1,5,+,0.128
679,12,5,+,0.129
680,1,5,+,0.125
681,7,5,+,0.129
682,7,5,+,0.128
683,10,5,+,0.126
684,10,5,+,0.128
685,10,5,+,0.128
686,11,5,+,0.129
687,11,5,+,0.129
688,10,5,+,0.13
689,9,5,+,0.13
690,13,13,,0.999
691,11,5,+,0.126
692,11,5,+,0.127
693,0,5,+,0.129
694,13,13,,0.999
695,13,13,,0.999
696,11,5,+,0.126
697,0,5,+,0.129
698,13,13,,0.999
699,13,13,,0.999
700,10,5,+,0.126
701,0,5,+,0.128
702,0,5,+,0.125
703,13,13,,0.999
704,13,13,,0.999
705,13,13,,1
706,3,5,+,0.127
707,13,13,,0.999
708,13,13,,0.999
709,13,13,,0.999
710,2,5,+,0.126
711,13,13,,0.999
712,2,5,+,0.127
713,3,5,+,0.128
714,13,13,,0.999
715,3,5,+,0.129
716,13,13,,0.999
717,13,13,,0.999
718,13,13,,0.999
719,4,5,+,0.128
720,3,5,+,0.126
721,4,5,+,0.128
722,4,5,+,0.127
723,13,13,,0.999
724,4,5,+,0.127
725,13,13,,0.999
726,4,5,+,0.132
727,8,5,+,0.125
728,4,5,+,0.127
729,8,5,+,0.125
730,8,5,+,0.125
731,13,13,,0.999
732,13,13,,1
733,13,13,,0.999
734,13,13,,0.995
735,13,13,,1
736,13,13,,0.999
737,13,13,,0.999
738,13,13,,1
739,13,13,,0.999
740,13,13,,0.999
741,13,13,,0.997
742,13,13,,0.999
743,13,13,,0.996
744,13,13,,0.999
745,13,13,,0.997
746,13,13,,0.998
747,3,12,+,0.358
748,3,5,+,0.232
749,3,5,+,0.232
750,9,9,,0.906
751,13,13,,0.998
752,9,5,+,0.232
753,13,13,,0.998
754,13,13,,0.998
755,8,5,+,0.232
756,13,13,,0.998
757,13,13,,0.998
758,13,13,,0.998
759,13,13,,0.998
760,13,13,,0.998
761,12,12,,0.332
762,13,13,,0.998
763,6,12,+,0.293
764,1,1,,0.998
765,1,1,,0.998
766,4,4,,0.176
767,1,1,,0.998
768,5,5,,0.232
769,13,13,,0.998
770,10,10,,0.651
771,13,13,,0.998
772,2,5,+,0.232
773,2,5,+,0.549
774,11,11,,0.548
775,4,4,,0.528
776,4,11,+,0.397
777,4,4,,0.524
778,13,13,,0.999
779,1,1,,0.996
780,6,4,+,0.237
781,6,11,+,0.458
782,6,11,+,0.438
783,13,13,,0.998
784,8,4,+,0.364
785,13,13,,0.999
786,13,13,,0.999
787,13,13,,0.999
788,8,8,,0.38
789,10,2,+,0.799
790,13,13,,0.999
791,10,1,+,0.988
792,10,1,+,0.943
793,13,13,,0.999
794,13,13,,0.999
795,5,5,,0.698
796,0,0,,0.972
797,13,13,,0.998
798,5,2,+,0.6
799,13,13,,0.999
800,5,5,,0.126
801,5,5,,0.129
802,12,5,+,0.128
803,12,5,+,0.132
804,6,5,+,0.13
805,7,5,+,0.124
806,7,5,+,0.126
807,7,5,+,0.128
808,11,5,+,0.127
809,13,13,,0.999
810,11,5,+,0.13
811,0,5,+,0.128
812,13,13,,0.999
813,13,13,,0.999
814,13,13,,0.999
815,3,5,+,0.135
816,13,13,,0.999
817,13,13,,0.999
818,13,13,,0.999
819,3,5,+,0.129
820,13,13,,0.999
821,3,5,+,0.125
822,2,5,+,0.126
823,13,13,,0.999
824,2,5,+,0.127
825,4,5,+,0.126
826,13,13,,0.999
827,4,5,+,0.128
828,2,5,+,0.127
829,13,13,,0.999
830,8,5,+,0.127
831,13,13,,0.998
832,13,13,,0.998
833,13,13,,0.997
834,13,13,,0.998
835,13,13,,1
836,13,13,,1
837,13,13,,0.999
838,13,13,,0.998
839,13,13,,0.999
840,13,13,,0.997
841,13,13,,0.996
842,13,13,,0.998
843,13,13,,0.998
844,13,13,,0.999
845,13,13,,0.999
846,13,13,,0.999
847,13,13,,0.999
848,13,13,,0.999
849,13,13,,0.997
850,13,13,,0.999
851,13,13,,0.999
852,13,13,,0.999
853,13,13,,1
854,13,13,,0.999
855,13,13,,0.999
856,13,13,,0.998
857,13,13,,0.999
858,13,13,,0.999
859,13,13,,0.997
860,13,13,,0.999
861,13,13,,1
862,13,13,,0.999
863,13,13,,0.999
864,13,13,,0.996
865,13,13,,0.999
866,13,13,,0.999
867,13,13,,0.997
868,13,13,,0.999
869,13,13,,0.997
870,13,13,,0.999
871,13,13,,0.996
872,13,13,,1
873,13,13,,0.996
874,13,13,,0.999
875,13,13,,0.998
876,13,13,,0.999
877,13,13,,0.998
878,13,13,,0.998
879,13,13,,0.999
880,13,13,,0.998
881,13,13,,0.998
882,10,10,,0.672
883,13,13,,0.998
884,10,2,+,0.655
885,13,13,,0.998
886,2,2,,0.88
887,2,5,+,0.232
888,2,1,+,0.997
889,13,13,,0.998
890,13,13,,0.998
891,2,5,+,0.232
892,13,13,,0.998
893,10,12,+,0.311
894,10,1,+,0.998
895,13,13,,0.998
896,3,12,+,0.306
897,9,12,+,0.315
898,9,5,+,0.232
899,9,12,+,0.321
900,8,12,+,0.287
901,8,5,+,0.232
902,13,13,,0.998
903,13,13,,0.998
904,13,13,,0.998
905,13,13,,0.998
906,13,13,,0.998
907,8,5,+,0.232
908,13,13,,0.998
909,13,13,,0.998
910,13,13,,0.998
911,7,5,+,0.232
912,13,13,,0.998
913,13,13,,0.998
914,7,5,+,0.232
915,13,13,,0.998
916,13,13,,0.998
917,11,5,+,0.232
918,11,5,+,0.232
919,11,5,+,0.232
920,13,13,,0.998
921,13,13,,0.998
922,11,11,,0.201
923,13,13,,0.998
924,1,1,,0.998
925,12,12,,0.3
926,6,5,+,0.232
927,6,12,+,0.362
928,6,12,+,0.306
929,13,13,,0.998
930,12,5,+,0.232
931,6,5,+,0.232
932,6,5,+,0.232
933,6,5,+,0.232
934,1,1,,0.997
935,4,12,+,0.333
936,6,5,+,0.232
937,6,5,+,0.232
938,5,5,,0.232
939,4,2,+,0.657
940,4,5,+,0.232
941,5,5,,0.232
942,4,5,+,0.232
943,13,13,,0.998
944,13,13,,0.998
945,5,5,,0.232
946,13,13,,0.998
947,10,10,,0.543
948,13,13,,0.999
949,12,12,,0.336
950,12,4,+,0.445
951,3,3,,0.861
952,11,9,+,0.388
953,12,4,+,0.452
954,11,8,+,0.538
955,11,4,+,0.413
956,2,2,,0.742
957,11,4,+,0.41
958,4,4,,0.495
959,4,4,,0.509
960,4,4,,0.522
961,4,4,,0.528
962,1,1,,0.998
963,1,1,,0.997
964,13,13,,0.999
965,1,1,,0.995
966,13,13,,0.999
967,13,13,,0.999
968,13,13,,0.998
969,13,13,,0.999
970,13,13,,0.999
971,1,1,,0.848
972,6,9,+,0.351
973,7,2,+,0.633
974,7,7,,0.991
975,13,13,,0.999
976,9,4,+,0.529
977,10,1,+,0.693
978,8,4,+,0.442
979,13,13,,0.998
980,0,0,,0.972
981,9,9,,0.362
982,8,5,+,0.312
983,9,9,,0.418
984,13,13,,0.999
985,8,2,+,0.371
986,0,0,,0.971
987,9,9,,0.37
988,10,1,+,0.975
989,13,13,,0.999
990,5,4,+,0.376
991,3,3,,0.863
992,13,13,,0.999
993,13,13,,0.998
994,3,3,,0.867
995,3,3,,0.452
996,3,3,,0.86
997,3,3,,0.863
998,3,3,,0.855
999,3,3,,0.848
1000,3,3,,0.857
1001,12,4,+,0.449
1002,5,5,,0.127
1003,5,5,,0.129
1004,1,5,+,0.127
1005,6,5,+,0.128
1006,1,5,+,0.132
1007,12,5,+,0.124
1008,5,5,,0.125
1009,6,5,+,0.129
1010,12,5,+,0.128
1011,5,5,,0.126
1012,1,5,+,0.134
1013,6,5,+,0.128
1014,12,5,+,0.126
1015,5,5,,0.125
1016,5,5,,0.126
1017,7,5,+,0.126
1018,7,5,+,0.126
1019,7,5,+,0.127
1020,7,5,+,0.127
1021,11,5,+,0.133
1022,10,5,+,0.13
1023,0,5,+,0.129
1024,13,13,,0.999
1025,10,5,+,0.138
1026,13,13,,0.999
1027,10,5,+,0.126
1028,13,13,,0.999
1029,9,5,+,0.127
1030,13,13,,0.999
1031,13,13,,0.999
1032,0,5,+,0.134
1033,13,13,,0.999
1034,13,13,,0.999
1035,13,13,,0.999
1036,13,13,,0.999
1037,13,13,,0.999
1038,13,13,,0.999
1039,13,13,,0.999
1040,3,5,+,0.127
1041,9,5,+,0.127
1042,13,13,,0.999
1043,13,13,,0.999
1044,3,5,+,0.125
1045,13,13,,0.999
1046,13,13,,0.999
1047,3,5,+,0.129
1048,2,5,+,0.128
1049,3,5,+,0.133
1050,13,13,,0.999
1051,13,13,,0.999
1052,13,13,,0.999
1053,2,5,+,0.129
1054,13,13,,0.999
1055,13,13,,0.999
1056,4,5,+,0.127
1057,13,13,,0.999
1058,2,5,+,0.132
1059,13,13,,0.999
1060,8,5,+,0.125
1061,8,5,+,0.127
1062,4,5,+,0.126
1063,8,5,+,0.133
1064,13,13,,0.999
1065,8,5,+,0.128
1066,13,13,,0.999
1067,13,13,,0.999
1068,13,13,,0.999
1069,13,13,,1
1070,13,13,,0.998
1071,13,13,,0.998
1072,13,13,,0.999
1073,13,13,,0.997
1074,13,13,,0.997
1075,13,13,,0.996
1076,13,13,,0.999
1077,13,13,,0.999
1078,13,13,,0.997
1079,13,13,,1
1080,13,13,,0.998
1081,13,13,,1
1082,13,13,,0.999
1083,13,13,,1
1084,13,13,,1
1085,13,13,,0.999
1086,13,13,,0.999
1087,13,13,,0.999
1088,13,13,,0.999
1089,13,13,,0.999
1090,13,13,,0.999
1091,13,13,,0.999
1092,13,13,,0.999
1093,13,13,,1
1094,13,13,,0.999
1095,13,13,,0.999
1096,13,13,,0.999
1097,13,13,,0.997
1098,13,13,,0.996
1099,13,13,,0.998
1100,13,13,,1
1101,13,13,,1
1102,13,13,,0.998
1103,13,13,,0.999
1104,13,13,,0.999
1105,13,13,,0.999
1106,13,13,,0.999
1107,13,13,,0.999
1108,13,13,,0.999
1109,13,13,,0.997
1110,13,13,,1
1111,13,13,,0.996
1112,13,13,,0.998
1113,13,13,,0.999
1114,13,13,,0.999
1115,13,13,,0.999
1116,13,13,,0.999
1117,13,13,,0.999
1118,13,13,,0.997
1119,13,13,,0.997
1120,13,13,,0.999
1121,13,13,,1
1122,13,13,,0.999
1123,13,13,,0.999
1124,13,13,,0.999
1125,13,13,,0.999
1126,13,13,,0.999
1127,13,13,,0.999
1128,13,13,,0.999
1129,13,13,,0.999
1130,13,13,,0.999
1131,13,13,,0.996
1132,13,13,,0.999
1133,13,13,,0.999
1134,13,13,,0.999
1135,13,13,,0.999
1136,13,13,,1
1137,13,13,,0.999
1138,13,13,,0.999
1139,13,13,,1
1140,13,13,,0.999
1141,13,13,,0.999
1142,13,13,,0.998
1143,2,5,+,0.232
1144,10,5,+,0.232
1145,13,13,,0.998
1146,2,5,+,0.232
1147,13,13,,0.998
1148,13,13,,0.998
1149,10,5,+,0.232
1150,10,10,,0.548
1151,13,13,,0.998
1152,13,13,,0.998
1153,13,13,,0.998
1154,13,13,,0.998
1155,13,13,,0.998
1156,3,9,+,0.843
1157,3,12,+,0.292
1158,3,12,+,0.311
1159,9,5,+,0.232
1160,13,13,,0.998
1161,13,13,,0.998
1162,7,5,+,0.232
1163,9,12,+,0.308
1164,13,13,,0.998
1165,7,5,+,0.232
1166,13,13,,0.998
1167,8,5,+,0.232
1168,13,13,,0.998
1169,13,13,,0.998
1170,8,5,+,0.232
1171,8,5,+,0.232
1172,13,13,,0.998
1173,7,5,+,0.232
1174,13,13,,0.998
1175,13,13,,0.998
1176,11,12,+,0.37
1177,13,13,,0.998
1178,13,13,,0.998
1179,13,13,,0.998
1180,12,5,+,0.232
1181,12,12,,0.329
1182,13,13,,0.998
1183,13,13,,0.998
1184,11,12,+,0.327
1185,13,13,,0.998
1186,1,5,+,0.232
1187,6,5,+,0.232
1188,13,13,,0.998
1189,6,12,+,0.346
1190,12,12,,0.318
1191,12,12,,0.362
1192,4,5,+,0.232
1193,6,5,+,0.232
1194,6,5,+,0.232
1195,4,5,+,0.232
1196,4,12,+,0.318
1197,5,5,,0.232
1198,13,13,,0.998
1199,5,5,,0.232
1200,5,5,,0.232
1201,13,13,,0.998
1202,13,13,,0.999
1203,13,13,,0.999
1204,13,13,,0.999
1205,13,13,,0.999
1206,13,13,,0.999
1207,12,4,+,0.474
1208,12,12,,0.298
1209,13,13,,0.999
1210,13,13,,0.999
1211,13,13,,0.999
1212,12,4,+,0.466
1213,12,12,,0.338
1214,12,9,+,0.354
1215,12,9,+,0.293
1216,12,12,,0.339
1217,12,4,+,0.421
1218,2,2,,0.725
1219,2,2,,0.742
1220,2,2,,0.465
1221,2,5,+,0.749
1222,2,5,+,0.575
1223,2,10,+,0.537
